"RegionName","State","Metro","CountyName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4300,4300,4137.5,4300,4500,4000,4200,4700,4000,4200,4200,4499,4499.5,4200,4000,4125,4250,4500,4500,4500,4595,4600,4500,4500,4496.5
"Philadelphia","PA","Philadelphia","Philadelphia",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2500,2500,2500,2525,2500,2337.5,2300,2200,2200,2150,2500,2525,2625,2612.5,2600,2500,2500,2500,2500,2500,2500,2597.5,2700,2550,2600,2550,2550,2500,2500,2500,2500,2497,2500
"Las Vegas","NV","Las Vegas","Clark",3,,,,1795,1850,1850,1650,1797.5,1885,1895,1895,1995,1995,1985,1900,1750,1850,1699,1650,1650,1650,1662.5,1700,1650,1650,1650,1650,1699.5,1700,1700,1699.5,1695,1700,1712.5,1800,1795,1700,1700,1700,1750,1750,1750,1800,1750,1800,1800,1822.5,1775,1795,1799,1785,1800,1850,1850,1875,1945,1890,1902.5,1900,1800,1832.5,1950,1885,1992,1995,1995,2000,2087.5,1900,1970,2000
"San Antonio","TX","San Antonio","Bexar",4,,,,,,,,,,,,,,1600,1695,1995,1995,1950,1900,1875,1850,1724.5,1697.5,1500,1595,1700,1800,1775,1800,1825,1875,1995,1995,1800,1850,1897.5,1895,1995,1850,1749,1700,1720,1900,1850,1774.5,1895,1895,1750,1750,1812.5,1900,1749.5,1972.5,1995,1875,1900,1900,1995,1800,1750,1750,1750,1800,1800,1995,2022.5,1749,1972.5,2100,1850,2100
"San Diego","CA","San Diego","San Diego",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3747.5,3400,3500,3500,3472.5,3500,4000,4200,3972.5,3997.5,3950,3950,3837.5,4000,3700,3795,3497.5,3500,3972.5,4000,3900,3950,3950,3395,3925,3799,3925
"Jacksonville","FL","Jacksonville","Duval",6,,,,,,,,,,,,,,,,,,,,,1662.5,1550,1550,1600,1600,1550,1450,1390,1587.5,1650,1550,1550,1537.5,1600,1475,1487.5,1600,1700,1550,1480,1512.5,1500,1595,1595,1595,1472.5,1495,1410,1437.5,1500,1595,1550,1595,1725,1650,1650,1695,1540,1500,1575,1625,1650,1600,1650,1825,1772,1675,1895,1900,1695,1749
"Boston","MA","Boston","Suffolk",7,,,,,,,,,,,,,,,3900,3600,3750,3850,3900,3800,3800,3750,3900,3800,3799.5,3900,4125,4000,3900,3900,3800,3800,3800,3700,3750,3900,3900,4000,4200,4150,4150,4150,4000,3900,3800,3800,3834.5,4000,3900,4200,4400,4300,4200,4000,4000,4000,3900,3900,3800,3750,4000,4200,4500,4500,4400,4300,4200,4100,4100,4100,4000
"Milwaukee","WI","Milwaukee","Milwaukee",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,845,795,795,767,725,686.5,697,650,705,750,750,767,750,742.5,750,750,760,750,750,777.5,750,745,735,725,750,750,795,750,750,750,745,750,725,750,750,750,765,777.5,880,860,800
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",9,,,,,,,,,,,,,,,,,,,2400,2200,2250,2097.5,2200,2050,2025,2150,2195,2100,2022.5,2200,2250,2395,2250,2047.5,1990,1999.5,2295,2000,1895,1987.5,2000,2200,2300,2300,2200,2100,2295,2200,2200,2197.5,2247.5,2100,2100,2395,2395,2295,2150,2100,2095,2095,2100,2100,2200,2200,2495,2400,2350,2250,2395,2300,2300
"Colorado Springs","CO","Colorado Springs","El Paso",10,,,,,,,,1872.5,1570,1500,1550,1595,1650,1595,1500,1500,1697.5,1875,1700,1650,1612.5,1650,1600,1600,1600,1600,1637,1650,1695,1795,1795,1650,1600,1650,1672.5,1650,1600,1650,1600,1650,1697.5,1712.5,1795,1850,1850,1885,1795,1750,1750,1700,1799.5,1850,1850,1972.5,1997.5,1950,1862.5,1895,1895,1800,1800,1772.5,1825,1800,1825,1825,1950,1897.5,1995,1972.5,1812.5
"Oakland","CA","San Francisco","Alameda",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1995,2200,2295,1975,2095,1897.5,1995,2137.5,2250,2125,2300
"Pittsburgh","PA","Pittsburgh","Allegheny",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.5,1397.5,1400,1400,1390,1392.5,1497.5,1325,1350,1200,1250,1397.5,1262.5,1240,1300,1392.5,1300,1372.5,1395,1395,1400,1250,1174.5,1250,1312.5,1250,1362.5,1300,1350,1352.5,1350,1200,1200,1250,1195
"Buffalo","NY","Buffalo","Erie",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,663,651,650,700,700,700,660,700,762.5,795,795,750,750,800,772.5,750,750,750,800,812.5,800,800,800,800,900,900,995,900,1000,975,850
"Henderson","NV","Las Vegas","Clark",14,,,,,,,,,2295,2200,2095,2000,2150,2147.5,2100,2200,2200,2300,2100,2095,2000,2050,1900,1995,2074.5,2099.5,2200,2100,2050,2100,2000,2200,2200,2200,2185,2100,2175,2125,2095,2100,2000,2000,2000,1997.5,2000,2000,2000,1995,1950,2147.5,2000,2299,2100,2200,2395,2347.5,2400,2207.5,2247.5,2100,2000,2095,2095,2005,2100,2197.5,2075,2307.5,2250,2382,2195
"Orlando","FL","Orlando","Orange",15,,,,,,,,,,,,,,,,,,,,,,,,,1700,1762.5,1725,1737.5,1762.5,1899,1850,1850,1800,1895,1900,1895,1850,1850,1850,1800,1800,1795,1850,1897.5,1895,1800,1800,1800,1825,1795,1800,1797.5,1825,1860,1850,1950,1987.5,1945,1995,1995,1900,1895,1900,1895,1800,2025,1897.5,1995,1998,1950,2095
"New Haven","CT","New Haven","New Haven",16,,,,,,,,1150,1150,1137.5,1180,1200,1200,1112.5,1200,1112.5,1100,1225,1200,1200,1200,1200,1200,1112.5,1150,1150,1150,1150,1200,1187.5,1137.5,1175,1175,1200,1175,1137.5,1125,1100,1197.5,1175,1150,1200,1137.5,1197.5,1250,1200,1200,1200,1200,1195,1197.5,1200,1200,1200,1262.5,1275,1287.5,1350,1200,1200,1250,1250,1200,1262.5,1297.5,1375,1197.5,1325,1275,1262.5,1200
"Cumming","GA","Atlanta","Forsyth",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2150,2150,2040,1962.5,2000,1950,2000,1962.5,1950,1962.5,1875,1775,1697.5,1825,1985,2225,2300,2200,2200,2197.5,2200,2200,2200,2200,1997.5,2100,2150,2275,2400,2250,2200,2047.5,2100,2197.5,2200,2100,2200,2200,2200,2395,2500,2372.5,2200
"Waterbury","CT","New Haven","New Haven",18,775,750,750,799.5,750,762.5,750,750,725,720,750,795,775,775,800,787.5,800,785,762.5,775,775,775,775,775,795,795,775,775,775,797.5,800,800,800,825,800,800,825,800,800,800,800,800,800,825,800,800,825,850,850,825,825,850,850,850,825,850,850,850,825,850,850,850,850,850,800,825,800,825,800,825,825
"Greenwich","CT","Stamford","Fairfield",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10250,11000,10000,9500,10500,9000,9000,10250,11000,11000,11500,10000,11700,11997.5,10775,11700,10500,11900,12000,11000,11900,10000,9500,10000,10500,9850,9750,11200,10825,9675,9950,10250,10500,12000,12000,12250
"Eastvale","CA","Riverside","Riverside",20,,,,,2500,2499.5,2499,2500,2495,2400,2475,2500,2497.5,2495,2500,2500,2495,2499,2425,2450,2500,2500,2474.5,2500,2500,2450,2495,2450,2400,2400,2450,2450,2500,2500,2500,2480,2425,2450,2495,2500,2495,2495,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2600,2575,2600,2600,2600,2600,2600,2600,2650,2600,2600,2600,2650,2600,2600,2695,2600,2680,2700
"Brookline","MA","Boston","Norfolk",21,,,,,,,,,,,,,,3550,4000,3675,4000,3700,4000,3600,3500,3200,3200,3672.5,3700,3700,3700,3800,3800,3800,3950,3800,3950,3850,3700,3699,3700,3900,4200,4500,4500,4500,4000,4350,4500,4400,4495,4100,4000,4000,4000,4000,4000,4000,3925,3800,3700,3700,3672.5,3600,4000,4200,4500,4800,4600,4375,4500,4375,4200,4600,4250
